[00:03:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/560628, l='ServerLevel[world]', x=-212.32, y=16.38, z=296.49]
[00:03:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/560788, l='ServerLevel[world]', x=-215.34, y=19.28, z=299.29]
[00:03:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/560791, l='ServerLevel[world]', x=-216.26, y=15.38, z=298.57]
[00:03:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Gravel'/561015, l='ServerLevel[world]', x=-192.39, y=2.73, z=294.44]
[00:04:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/562000, l='ServerLevel[world]', x=-211.67, y=19.40, z=295.47]
[00:05:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/563030, l='ServerLevel[world]', x=-197.52, y=14.25, z=293.35]
[00:05:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/563031, l='ServerLevel[world]', x=-196.38, y=13.51, z=295.31]
[00:05:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Gold Ore'/563032, l='ServerLevel[world]', x=-196.27, y=16.49, z=293.57]
[00:05:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/563254, l='ServerLevel[world]', x=-206.46, y=17.26, z=295.70]
[00:05:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/563256, l='ServerLevel[world]', x=-204.62, y=16.29, z=293.44]
[00:06:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/564218, l='ServerLevel[world]', x=-201.47, y=16.34, z=293.44]
[00:06:38] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/564455, l='ServerLevel[world]', x=-206.63, y=15.63, z=295.56]
[00:07:23] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/565313, l='ServerLevel[world]', x=-302.88, y=74.06, z=361.61]
[00:07:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/565661, l='ServerLevel[world]', x=-208.67, y=17.74, z=292.51]
[00:07:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/565662, l='ServerLevel[world]', x=-208.55, y=14.70, z=293.52]
[00:07:48] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/565861, l='ServerLevel[world]', x=-193.31, y=8.40, z=293.70]
[00:08:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/566517, l='ServerLevel[world]', x=-194.67, y=7.60, z=291.62]
[00:08:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/566867, l='ServerLevel[world]', x=-205.48, y=17.33, z=293.43]
[00:08:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/566868, l='ServerLevel[world]', x=-204.48, y=18.55, z=292.60]
